,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12,1.75,1.06,1.75,4.94,5.19,2.06,1.06,1.0,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.19,6.19,13.06,21.75,32.19,38.19,44.88,46.31,38.56,13.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.5,101.5,87.0,105.06,91.56,118.62,191.19,275.75,259.75,111.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.12,163.25,125.31,86.44,51.75,59.5,60.06,62.69,38.0,8.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.31,3.06,4.5,7.19,11.5,24.0,32.19,35.62,42.31,12.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.56,30.12,43.5,53.94,81.31,79.56,82.88,77.06,57.12,25.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.56,143.62,114.88,78.0,66.0,127.38,208.31,285.5,254.94,163.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216.0,291.06,305.94,351.75,386.62,353.31,310.44,265.94,207.69,119.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.75,201.38,258.56,295.12,301.94,259.31,174.94,124.06,53.38,19.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12,1.75,1.25,2.31,3.88,4.38,5.69,4.5,2.38,2.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
